Municipalidad,Alianza,Bancas,Colores,Ediles
Tres Arroyos,FdT,6,mediumaquamarine,FdT (6)
Tres Arroyos,Juntos,6,yellow,Juntos (6)
Tres Arroyos,Vecinal,6,black,Vecinal (6)
Tres de Febrero,FdT,11,mediumaquamarine,FdT (11)
Tres de Febrero,Juntos,13,yellow,Juntos (13)
Tres Lomas,FdT,4,mediumaquamarine,FdT (4)
Tres Lomas,Juntos,5,yellow,Juntos (5)
25 de mayo,FdT,8,mediumaquamarine,FdT (8)
25 de mayo,Juntos,7,yellow,Juntos (7)
25 de mayo,Vecinal,1,black,Vecinal (1)
Vicente López,FdT,7,mediumaquamarine,FdT (7)
Vicente López,Juntos,15,yellow,Juntos (15)
Vicente López,Avanza Libertad,2,purple,Avanza Libertad (2)
Villa Gesell,FdT,9,mediumaquamarine,FdT (9)
Villa Gesell,Juntos,7,yellow,Juntos (7)
Villarino,FdT,5,mediumaquamarine,FdT (5)
Villarino,Juntos,4,yellow,Juntos (4)
Villarino,Vecinal,7,black,Vecinal (7)
Zárate,FdT,10,mediumaquamarine,FdT (10)
Zárate,Juntos,9,yellow,Juntos (9)
Zárate,Vecinal,1,black,Vecinal (1)
